fecha,Suma de Capacidad promedio realizada MW,Suma de Capacidad promedio prevista MW,Perdida
01/01/2006,34311.523,37154.807,2843.284
02/01/2006,35212.004,38410.841,3198.837
03/01/2006,33122.22,34604.454,1482.234
04/01/2006,34283.865,36214.906,1931.041
05/01/2006,34512.021,36148.027,1636.006
06/01/2006,34473.817,36438.384,1964.567
07/01/2006,34189.296,36159.383,1970.087
08/01/2006,33505.399,36404.042,2898.643
09/01/2006,34067.92,36641.325,2573.405
10/01/2006,33365.526,35420.104,2054.578
11/01/2006,34317.635,36254.886,1937.251
12/01/2006,34443.634,36097.529,1653.895
13/01/2006,33764.586,35827.837,2063.251
14/01/2006,32885.388,35801.935,2916.547
15/01/2006,32474.687,34913.425,2438.738
16/01/2006,33959.659,36081.587,2121.928
17/01/2006,33684.723,35331.428,1646.705
18/01/2006,33212.933,35607.339,2394.406
19/01/2006,33784.665,35663.854,1879.189
20/01/2006,33857.638,36044.505,2186.867
21/01/2006,33632.142,35951.485,2319.343
22/01/2006,32467.404,34417.596,1950.192
23/01/2006,33435.08,34749.493,1314.413
24/01/2006,33728.011,35531.669,1803.658
25/01/2006,33720.475,35511.219,1790.744
26/01/2006,33503.307,35591.659,2088.352
27/01/2006,34149.318,35606.964,1457.646
28/01/2006,33361.998,35612.257,2250.259
29/01/2006,33178.451,35227.428,2048.977
30/01/2006,34484.45,36059.111,1574.661
31/01/2006,34369.848,36191.399,1821.551
01/02/2006,34434.81,35992.649,1557.839
02/02/2006,33938.577,35131.716,1193.139
03/02/2006,34200.438,35951.034,1750.596
04/02/2006,33118.616,35643.936,2525.32
05/02/2006,32554.458,35190.452,2635.994
06/02/2006,33534.109,35716.156,2182.047
07/02/2006,34220.889,36174.874,1953.985
08/02/2006,34351.797,36151.869,1800.072
09/02/2006,34349.356,35540.236,1190.88
10/02/2006,34487.931,36307.68,1819.749
11/02/2006,34440.349,36577.84,2137.491
12/02/2006,33577.596,35813.408,2235.812
13/02/2006,34497.643,36474.46,1976.817
14/02/2006,34821.125,36170.54,1349.415
15/02/2006,34974.939,36431.731,1456.792
16/02/2006,35155.703,36495.808,1340.105
17/02/2006,35785.718,36890.492,1104.774
18/02/2006,34604.034,37062.902,2458.868
19/02/2006,33579.415,36227.405,2647.99
20/02/2006,33703.925,36254.577,2550.652
21/02/2006,33930.015,35507.757,1577.742
22/02/2006,34158.233,35167.412,1009.179
23/02/2006,35388.7,36241.202,852.502
24/02/2006,34740.216,36102.366,1362.15
25/02/2006,34217.19,36054.682,1837.492
26/02/2006,33575.425,35916.754,2341.329
27/02/2006,35049.926,36751.712,1701.786
28/02/2006,36155.194,37753.668,1598.474
01/03/2006,34146.508,37271.554,3125.046
02/03/2006,34488.761,37415.429,2926.668
03/03/2006,34934.597,37389.384,2454.787
04/03/2006,33928.514,36744.332,2815.818
05/03/2006,32976.439,35776.943,2800.504
06/03/2006,34096.802,36135.147,2038.345
07/03/2006,35244.777,37026.893,1782.116
08/03/2006,35313.282,37430.999,2117.717
09/03/2006,34458.603,35534.899,1076.296
10/03/2006,35352.659,36848.203,1495.544
11/03/2006,34481.966,36781.509,2299.543
12/03/2006,33716.733,36109.818,2393.085
13/03/2006,34959.365,36908.826,1949.461
14/03/2006,35689.839,37360.924,1671.085
15/03/2006,35866.471,38143.71,2277.239
16/03/2006,36094.277,37967.602,1873.325
17/03/2006,36273.004,37910.608,1637.604
18/03/2006,34801.044,36666.348,1865.304
19/03/2006,32947.549,35583.16,2635.611
20/03/2006,34516.431,36402.85,1886.419
21/03/2006,34541.059,36183.027,1641.968
22/03/2006,35186.466,37144.534,1958.068
23/03/2006,34886.06,36830.588,1944.528
24/03/2006,35056.135,36558.514,1502.379
25/03/2006,34336.751,37025.628,2688.877
26/03/2006,33541.889,35904.911,2363.022
27/03/2006,34190.072,36529.131,2339.059
28/03/2006,35265.001,36750.469,1485.468
29/03/2006,35667.786,38046.587,2378.801
30/03/2006,35682.862,37335.014,1652.152
31/03/2006,36007.078,37723.874,1716.796
01/04/2006,35300.56,36916.967,1616.407
02/04/2006,33302.889,35830.01,2527.121
03/04/2006,34983.296,37047.408,2064.112
04/04/2006,34931.165,36164.198,1233.033
05/04/2006,34339.473,35941.068,1601.595
06/04/2006,34876.128,36222.399,1346.271
07/04/2006,35357.201,36421.827,1064.626
08/04/2006,35075.763,36223.763,1148
09/04/2006,34069.538,36253.952,2184.414
10/04/2006,35737.275,38113.325,2376.05
11/04/2006,36170.507,38430.884,2260.377
12/04/2006,36342.345,38185.899,1843.554
13/04/2006,34815.824,37828.401,3012.577
14/04/2006,33500.247,36731.219,3230.972
15/04/2006,33092.543,37533.748,4441.205
16/04/2006,34857.979,37745.476,2887.497
17/04/2006,36268.826,38898.833,2630.007
18/04/2006,35411.207,37898.846,2487.639
19/04/2006,35745.274,37265.434,1520.16
20/04/2006,36242.646,37940.239,1697.593
21/04/2006,35794.525,37319.344,1524.819
22/04/2006,34253.764,36516.909,2263.145
23/04/2006,33519.699,35315.466,1795.767
24/04/2006,34867.864,36414.042,1546.178
25/04/2006,35940.708,37256.901,1316.193
26/04/2006,36138.192,37338.562,1200.37
27/04/2006,36187.481,38180.725,1993.244
28/04/2006,36013.893,37796.697,1782.804
29/04/2006,35755.587,37446.495,1690.908
30/04/2006,34221.849,37032.729,2810.88
01/05/2006,33618.325,37380.766,3762.441
02/05/2006,35301.306,37130.812,1829.506
03/05/2006,35231.355,37390.177,2158.822
04/05/2006,34906.67,37301.817,2395.147
05/05/2006,35417.09,37624.044,2206.954
06/05/2006,34746.562,36814.263,2067.701
07/05/2006,34173.306,36568.929,2395.623
08/05/2006,35554.101,37604.225,2050.124
09/05/2006,36180.215,38214.868,2034.653
10/05/2006,36070.645,38054.371,1983.726
11/05/2006,36826.315,38483.643,1657.328
12/05/2006,36007.102,38460.443,2453.341
13/05/2006,35693.384,38639.448,2946.064
14/05/2006,35413.512,37841.973,2428.461
15/05/2006,36253.248,38495.091,2241.843
16/05/2006,36452.412,38994.223,2541.811
17/05/2006,36648.132,38962.503,2314.371
18/05/2006,36672.583,39330.493,2657.91
19/05/2006,37529.895,39270.403,1740.508
20/05/2006,37619.446,40049.297,2429.851
21/05/2006,35101.477,38129.751,3028.274
22/05/2006,36924.458,39547.261,2622.803
23/05/2006,37687.84,39524.171,1836.331
24/05/2006,37365.558,39725.029,2359.471
25/05/2006,37800.179,39731.704,1931.525
26/05/2006,37970.768,40091.975,2121.207
